,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,WRD,WeRide Inc.,,31.50 +14.33 (+83.46%),14.33,+83.46%,20.704M,442450,8.647B,-,90.33%,
1,RXRX,"Recursion Pharmaceuticals, Inc.",,10.53 +2.03 (+23.88%),2.03,+23.88%,81.43M,19.155M,4.114B,-,-16.36%,
2,KC,Kingsoft Cloud Holdings Limited,,20.81 +3.46 (+19.94%),3.46,+19.94%,7.587M,4.046M,4.942B,-,682.33%,
3,GT,The Goodyear Tire & Rubber Company,,9.58 +1.41 (+17.26%),1.41,+17.26%,21.622M,4.952M,2.73B,39.92,-22.68%,
4,PCOR,"Procore Technologies, Inc.",,87.50 +12.40 (+16.51%),12.4,+16.51%,4.16M,1.744M,13.008B,-,14.81%,
5,DKNG,DraftKings Inc.,,53.49 +7.04 (+15.16%),7.04,+15.16%,48.198M,8.485M,26.208B,-,29.45%,
6,ABNB,"Airbnb, Inc.",,161.42 +20.38 (+14.45%),20.38,+14.45%,21.544M,4.719M,101.782B,39.18,8.96%,
7,CRSP,CRISPR Therapeutics AG,,49.72 +6.23 (+14.33%),6.23,+14.33%,7.725M,2.021M,4.265B,-,-36.85%,
8,ROKU,"Roku, Inc.",,99.07 +12.27 (+14.14%),12.27,+14.14%,18.341M,3.604M,14.385B,-,47.32%,
9,CAE,CAE Inc.,,26.78 +3.27 (+13.91%),3.27,+13.91%,1.855M,492626,8.564B,-,38.97%,
10,SMCI,"Super Micro Computer, Inc.",,47.91 +5.63 (+13.32%),5.63,+13.32%,130.605M,74.226M,28.054B,23.84,-39.17%,
11,BEAM,Beam Therapeutics Inc.,,32.40 +3.79 (+13.25%),3.79,+13.25%,3.37M,1.15M,2.683B,-,1.89%,
12,PONY,Pony AI Inc.,,16.54 +1.68 (+11.31%),1.68,+11.31%,3.465M,1.135M,5.772B,-,37.83%,
13,BILI,Bilibili Inc.,,21.99 +2.17 (+10.95%),2.17,+10.95%,18.208M,5.554M,9.205B,-,115.59%,
14,CYTK,"Cytokinetics, Incorporated",,46.16 +4.54 (+10.91%),4.54,+10.91%,4.82M,1.377M,5.448B,-,-39.97%,
15,BBIO,"BridgeBio Pharma, Inc.",,34.90 +3.34 (+10.58%),3.34,+10.58%,3.369M,2.522M,6.596B,-,-2.92%,
16,WYNN,"Wynn Resorts, Limited",,88.82 +8.35 (+10.38%),8.35,+10.38%,8.892M,2.345M,9.451B,20.42,-13.96%,
17,DFKCY,"Daifuku Co., Ltd.",,11.38 +1.01 (+9.74%),1.01,+9.74%,27074,100433,8.368B,22.31,1.86%,
18,KAI,Kadant Inc.,,388.46 +34.27 (+9.68%),34.27,+9.68%,587263,111593,4.563B,40.98,22.49%,
19,MLCO,Melco Resorts & Entertainment Limited,,6.27 +0.52 (+9.04%),0.52,+9.04%,10.536M,3.831M,2.632B,-,-25.53%,
20,ACHR,Archer Aviation Inc.,,10.35 +0.83 (+8.72%),0.83,+8.72%,49.85M,40.868M,5.614B,-,101.75%,
21,GDS,GDS Holdings Limited,,39.14 +3.12 (+8.66%),3.12,+8.66%,5.74M,1.844M,7.937B,-,478.99%,
22,GXO,"GXO Logistics, Inc.",,39.41 +3.10 (+8.54%),3.1,+8.54%,4.467M,1.527M,4.709B,35.19,-26.96%,
23,BFAM,Bright Horizons Family Solutions Inc.,,128.93 +9.94 (+8.35%),9.94,+8.35%,1.115M,517740,7.502B,53.72,21.17%,
24,AUR,"Aurora Innovation, Inc.",,10.19 +0.77 (+8.17%),0.77,+8.17%,37.2M,14.165M,17.659B,-,260.07%,
25,APP,AppLovin Corporation,,510.13 +38.46 (+8.15%),38.46,+8.15%,11.243M,5.455M,173.466B,112.36,789.81%,
26,WST,"West Pharmaceutical Services, Inc.",,214.73 +15.62 (+7.84%),15.62,+7.84%,5.012M,630776,15.551B,32.05,-38.68%,
27,CSAN,Cosan S.A.,,5.43 +0.37 (+7.31%),0.37,+7.31%,1.489M,1.194M,2.523B,6.54,-63.99%,
28,NPSNY,Naspers Limited,,49.83 +3.20 (+6.86%),3.2,+6.86%,71183,56436,41.113B,13.54,47.56%,
29,ASTS,"AST SpaceMobile, Inc.",,32.10 +2.05 (+6.82%),2.05,+6.82%,13.913M,9.611M,9.3B,-,866.87%,
30,TEM,"Tempus AI, Inc.",,89.44 +5.69 (+6.79%),5.69,+6.79%,24.856M,8.526M,14.082B,-,122.21%,
31,SOFI,"SoFi Technologies, Inc.",,16.21 +1.02 (+6.71%),1.02,+6.71%,63.078M,44.648M,17.756B,41.56,90.48%,
32,NBIS,Nebius Group N.V.,,44.49 +2.79 (+6.69%),2.79,+6.69%,34.798M,9.554M,10.475B,-,122.45%,
33,AL,Air Lease Corporation,,49.45 +3.10 (+6.69%),3.1,+6.69%,1.095M,619168,5.508B,14.85,21.98%,
34,TME,Tencent Music Entertainment Group,,13.61 +0.85 (+6.66%),0.85,+6.66%,12.513M,6.71M,21.825B,26.17,37.20%,
35,NMRK,"Newmark Group, Inc.",,14.69 +0.87 (+6.30%),0.87,+6.30%,2.268M,959256,3.55B,43.21,37.80%,
36,RSI,"Rush Street Interactive, Inc.",,16.70 +0.97 (+6.17%),0.97,+6.17%,2.639M,1.795M,3.769B,-,198.21%,
37,TDOC,"Teladoc Health, Inc.",,14.33 +0.82 (+6.07%),0.82,+6.07%,20.319M,5.767M,2.467B,-,-30.06%,
38,PROSY,Prosus N.V.,,9.05 +0.51 (+5.97%),0.51,+5.97%,413005,1.485M,105.29B,14.37,52.36%,
39,ZK,ZEEKR Intelligent Technology Holding Limited,,26.33 +1.48 (+5.96%),1.48,+5.96%,1.03M,648580,6.519B,-,-6.83%,
40,DXCM,"DexCom, Inc.",,89.07 +4.98 (+5.92%),4.98,+5.92%,7.554M,3.46M,34.8B,62.73,-24.43%,
41,FLUT,Flutter Entertainment plc,,298.81 +16.59 (+5.88%),16.59,+5.88%,3.875M,1.348M,53.042B,-,44.70%,
42,BHF,"Brighthouse Financial, Inc.",,62.14 +3.40 (+5.79%),3.4,+5.79%,1.232M,533016,3.643B,12.73,30.46%,
43,FMCC,Federal Home Loan Mortgage Corporation,,6.45 +0.35 (+5.74%),0.35,+5.74%,1.797M,7.402M,4.193B,-,491.74%,
44,FLG,"Flagstar Financial, Inc.",,13.22 +0.71 (+5.68%),0.71,+5.68%,8.364M,6.361M,5.485B,-,-6.04%,
45,RIVN,"Rivian Automotive, Inc.",,14.03 +0.73 (+5.49%),0.73,+5.49%,33.452M,36.145M,14.32B,-,-11.71%,
46,FROG,JFrog Ltd.,,39.80 +2.09 (+5.54%),2.09,+5.54%,4.717M,981696,4.44B,-,-6.35%,
47,LGND,Ligand Pharmaceuticals Incorporated,,120.00 +6.07 (+5.33%),6.07,+5.33%,115768,104280,2.267B,48.00,65.81%,
48,FTAI,FTAI Aviation Ltd.,,113.59 +5.67 (+5.25%),5.67,+5.25%,1.723M,2.796M,11.649B,-,114.77%,
49,FNMA,Federal National Mortgage Association,,7.09 +0.35 (+5.19%),0.35,+5.19%,4.028M,17.726M,8.211B,-,458.27%,
50,PHIN,PHINIA Inc.,,51.74 +2.54 (+5.16%),2.54,+5.16%,631542,492870,2.112B,29.40,64.46%,
51,VSH,"Vishay Intertechnology, Inc.",,18.63 +0.88 (+4.96%),0.88,+4.96%,2.105M,2.369M,2.526B,-,-14.70%,
52,HTHT,H World Group Limited,,36.46 +1.66 (+4.77%),1.66,+4.77%,4.73M,2.074M,11.424B,22.79,1.36%,
53,ELP,Companhia Paranaense de Energia - COPEL,,7.26 +0.33 (+4.76%),0.33,+4.76%,469399,283670,4.928B,12.74,-13.98%,
54,ALGM,"Allegro MicroSystems, Inc.",,25.74 +1.17 (+4.76%),1.17,+4.76%,3.399M,2.305M,4.739B,-,-16.40%,
55,CVNA,Carvana Co.,,285.33 +12.93 (+4.75%),12.93,+4.75%,3.936M,3.081M,33.368B,-,450.72%,
56,SLM,SLM Corporation,,31.43 +1.41 (+4.70%),1.41,+4.70%,2.786M,2.73M,6.613B,11.73,55.13%,
57,GKOS,Glaukos Corporation,,153.20 +6.82 (+4.66%),6.82,+4.66%,747249,546563,8.447B,-,66.29%,
58,PWP,Perella Weinberg Partners,,23.83 +1.06 (+4.66%),1.06,+4.66%,578352,639251,2.067B,-,83.03%,
59,COMP,"Compass, Inc.",,7.93 +0.35 (+4.62%),0.35,+4.62%,6.8M,4.649M,4.375B,-,117.26%,
