,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,HTZ,"Hertz Global Holdings, Inc.",,8.24 +2.53 (+44.31%),2.53,+44.31%,262.578M,8.329M,2.537B,-,-4.67%,
1,CHGCY,"Chugai Pharmaceutical Co., Ltd.",,28.93 +5.04 (+21.10%),5.04,+21.10%,146157,214132,95.21B,35.28,46.87%,
2,CAR,"Avis Budget Group, Inc.",,84.59 +11.90 (+16.37%),11.9,+16.37%,3.385M,1.311M,2.977B,-,-28.74%,
3,LLY,Eli Lilly and Company,,839.96 +105.06 (+14.30%),105.06,+14.30%,10.092M,3.609M,754.275B,71.91,-1.48%,
4,DJT,Trump Media & Technology Group Corp.,,22.04 +2.30 (+11.65%),2.3,+11.65%,11.861M,5.688M,4.862B,-,-40.52%,
5,BMI,"Badger Meter, Inc.",,201.63 +17.73 (+9.64%),17.73,+9.64%,634980,255691,5.93B,47.67,3.04%,
6,BHVN,Biohaven Ltd.,,20.37 +1.69 (+9.05%),1.69,+9.05%,2.098M,1.163M,2.079B,-,-55.69%,
7,DJTWW,Trump Media & Technology Group Corp.,,13.30 +1.07 (+8.75%),1.07,+8.75%,106105,43341,4.247B,-,33.40%,
8,FIS,"Fidelity National Information Services, Inc.",,74.58 +5.94 (+8.65%),5.94,+8.65%,8.057M,3.983M,39.504B,52.52,-1.94%,
9,GDS,GDS Holdings Limited,,21.47 +1.65 (+8.32%),1.65,+8.32%,3.156M,3.992M,4.057B,-,209.20%,
10,DLTR,"Dollar Tree, Inc.",,79.14 +5.93 (+8.10%),5.93,+8.10%,7.216M,4.843M,17.022B,16.39,-40.10%,
11,FIVE,"Five Below, Inc.",,67.51 +4.79 (+7.64%),4.79,+7.64%,2.585M,2.3M,3.716B,14.68,-58.74%,
12,VIST,"Vista Energy, S.A.B. de C.V.",,47.81 +3.08 (+6.89%),3.08,+6.89%,2.035M,1.068M,4.693B,10.33,8.28%,
13,CE,Celanese Corporation,,40.09 +2.56 (+6.82%),2.56,+6.82%,2.591M,3.824M,4.48B,-,-75.73%,
14,SMMT,Summit Therapeutics Inc.,,24.61 +1.56 (+6.77%),1.56,+6.77%,3.403M,2.935M,18.154B,-,556.70%,
15,VAL,Valaris Limited,,31.89 +1.79 (+5.95%),1.79,+5.95%,1.36M,2.11M,2.265B,6.23,-55.11%,
16,AMX,"América Móvil, S.A.B. de C.V.",,16.13 +0.90 (+5.91%),0.9,+5.91%,3.225M,2.087M,49.086B,35.07,-14.20%,
17,TIGO,Millicom International Cellular S.A.,,32.45 +1.80 (+5.87%),1.8,+5.87%,1.118M,900913,5.415B,21.93,53.25%,
18,VNOM,"Viper Energy, Inc.",,41.37 +2.29 (+5.86%),2.29,+5.86%,2.032M,1.931M,9.066B,10.83,0.41%,
