symbol,price,price_change,price_percent_change
WRD,31.50 +14.33 (+83.46%),14.33,+83.46%
RXRX,10.53 +2.03 (+23.88%),2.03,+23.88%
KC,20.81 +3.46 (+19.94%),3.46,+19.94%
GT,9.58 +1.41 (+17.26%),1.41,+17.26%
PCOR,87.50 +12.40 (+16.51%),12.4,+16.51%
DKNG,53.49 +7.04 (+15.16%),7.04,+15.16%
ABNB,161.42 +20.38 (+14.45%),20.38,+14.45%
CRSP,49.72 +6.23 (+14.33%),6.23,+14.33%
ROKU,99.07 +12.27 (+14.14%),12.27,+14.14%
CAE,26.78 +3.27 (+13.91%),3.27,+13.91%
SMCI,47.91 +5.63 (+13.32%),5.63,+13.32%
BEAM,32.40 +3.79 (+13.25%),3.79,+13.25%
PONY,16.54 +1.68 (+11.31%),1.68,+11.31%
BILI,21.99 +2.17 (+10.95%),2.17,+10.95%
CYTK,46.16 +4.54 (+10.91%),4.54,+10.91%
BBIO,34.90 +3.34 (+10.58%),3.34,+10.58%
WYNN,88.82 +8.35 (+10.38%),8.35,+10.38%
DFKCY,11.38 +1.01 (+9.74%),1.01,+9.74%
KAI,388.46 +34.27 (+9.68%),34.27,+9.68%
MLCO,6.27 +0.52 (+9.04%),0.52,+9.04%
ACHR,10.35 +0.83 (+8.72%),0.83,+8.72%
GDS,39.14 +3.12 (+8.66%),3.12,+8.66%
GXO,39.41 +3.10 (+8.54%),3.1,+8.54%
BFAM,128.93 +9.94 (+8.35%),9.94,+8.35%
AUR,10.19 +0.77 (+8.17%),0.77,+8.17%
APP,510.13 +38.46 (+8.15%),38.46,+8.15%
WST,214.73 +15.62 (+7.84%),15.62,+7.84%
CSAN,5.43 +0.37 (+7.31%),0.37,+7.31%
NPSNY,49.83 +3.20 (+6.86%),3.2,+6.86%
ASTS,32.10 +2.05 (+6.82%),2.05,+6.82%
TEM,89.44 +5.69 (+6.79%),5.69,+6.79%
SOFI,16.21 +1.02 (+6.71%),1.02,+6.71%
NBIS,44.49 +2.79 (+6.69%),2.79,+6.69%
AL,49.45 +3.10 (+6.69%),3.1,+6.69%
TME,13.61 +0.85 (+6.66%),0.85,+6.66%
NMRK,14.69 +0.87 (+6.30%),0.87,+6.30%
RSI,16.70 +0.97 (+6.17%),0.97,+6.17%
TDOC,14.33 +0.82 (+6.07%),0.82,+6.07%
PROSY,9.05 +0.51 (+5.97%),0.51,+5.97%
ZK,26.33 +1.48 (+5.96%),1.48,+5.96%
DXCM,89.07 +4.98 (+5.92%),4.98,+5.92%
FLUT,298.81 +16.59 (+5.88%),16.59,+5.88%
BHF,62.14 +3.40 (+5.79%),3.4,+5.79%
FMCC,6.45 +0.35 (+5.74%),0.35,+5.74%
FLG,13.22 +0.71 (+5.68%),0.71,+5.68%
RIVN,14.03 +0.73 (+5.49%),0.73,+5.49%
FROG,39.80 +2.09 (+5.54%),2.09,+5.54%
LGND,120.00 +6.07 (+5.33%),6.07,+5.33%
FTAI,113.59 +5.67 (+5.25%),5.67,+5.25%
FNMA,7.09 +0.35 (+5.19%),0.35,+5.19%
PHIN,51.74 +2.54 (+5.16%),2.54,+5.16%
VSH,18.63 +0.88 (+4.96%),0.88,+4.96%
HTHT,36.46 +1.66 (+4.77%),1.66,+4.77%
ELP,7.26 +0.33 (+4.76%),0.33,+4.76%
ALGM,25.74 +1.17 (+4.76%),1.17,+4.76%
CVNA,285.33 +12.93 (+4.75%),12.93,+4.75%
SLM,31.43 +1.41 (+4.70%),1.41,+4.70%
GKOS,153.20 +6.82 (+4.66%),6.82,+4.66%
PWP,23.83 +1.06 (+4.66%),1.06,+4.66%
COMP,7.93 +0.35 (+4.62%),0.35,+4.62%
SITM,177.41 +7.82 (+4.61%),7.82,+4.61%
IOT,58.96 +2.59 (+4.59%),2.59,+4.59%
TNXP,11.95 +0.52 (+4.55%),0.52,+4.55%
OS,25.57 +1.11 (+4.54%),1.11,+4.54%
PARA,11.30 +0.49 (+4.53%),0.49,+4.53%
JD,41.38 +1.79 (+4.52%),1.79,+4.52%
AGCO,98.05 +4.20 (+4.48%),4.2,+4.48%
XPEV,16.66 +0.71 (+4.45%),0.71,+4.45%
PBR,14.32 +0.61 (+4.45%),0.61,+4.45%
ALK,75.74 +3.20 (+4.41%),3.2,+4.41%
ARWR,19.95 +0.84 (+4.40%),0.84,+4.40%
HCM,13.80 +0.58 (+4.39%),0.58,+4.39%
STNE,9.78 +0.41 (+4.38%),0.41,+4.38%
BABA,124.73 +5.19 (+4.34%),5.19,+4.34%
PTCT,51.82 +2.15 (+4.33%),2.15,+4.33%
CWST,111.36 +4.59 (+4.30%),4.59,+4.30%
PBR-A,13.15 +0.54 (+4.28%),0.54,+4.28%
CE,68.06 +2.76 (+4.23%),2.76,+4.23%
FN,223.04 +9.01 (+4.21%),9.01,+4.21%
CRC,48.23 +1.94 (+4.19%),1.94,+4.19%
HWM,133.42 +5.34 (+4.17%),5.34,+4.17%
